iter	RMSE
0	579110.8234
1	533278.9722
2	500869.3826
3	475449.3808
4	458881.1881
5	445744.2137
6	436697.2141
7	429065.4538
8	422254.2202
9	418394.7945
10	414146.2379
11	410696.5252
12	407952.0739
13	406331.2291
14	404976.5282
15	403640.5273
16	402634.9006
17	400668.5884
18	400181.4325
19	399018.6344
20	398858.203
21	397697.0275
22	397111.7749
23	396651.6263
24	395945.769
25	394715.5474
26	393466.4959
27	392854.7357
28	391754.3551
29	390101.3663
30	388600.6216
31	387864.5774
32	387206.2623
33	386477.186
34	385367.9868
35	384619.2364
36	383437.2757
37	383419.6388
38	382835.3853
39	381568.1816
40	380859.739
41	379759.3
42	379192.704
43	378596.5699
44	378544.1862
45	377872.5018
46	376788.9613
47	376232.0438
48	375500.0751
49	375090.9107
50	373985.3283
51	373090.9814
52	372695.962
53	371542.4556
54	370261.6909
55	369569.7159
56	368545.8385
57	367931.7486
58	367285.0041
59	366464.5042
60	365756.0601
61	364627.9086
62	363902.2808
63	363301.0129
64	362715.6553
65	361841.3521
66	361326.4112
67	360087.4444
68	359819.2587
69	359138.6467
70	358531.4189
71	358146.3686
72	357600.2513
73	357129.6125
74	356450.0661
75	355556.0435
76	355013.5859
77	354609.5168
78	354091.8009
79	353155.7804
80	352711.6166
81	352287.2571
82	352077.4623
83	351488.2347
84	350680.0694
85	350660.6236
86	350258.7548
87	349940.6163
88	349480.2801
89	349003.6807
90	348816.4389
91	348322.0455
92	347968.7464
93	347301.2138
94	347045.2373
95	346516.3614
96	346005.0447
97	345966.727
98	345853.7053
99	345636.3078
100	344973.9927
101	344965.9508
102	344773.6881
103	343996.0067
104	343356.0322
105	342576.1789
106	341766.275
107	341094.4045
108	340452.9459
109	340312.3809
110	340077.1829
111	339927.3463
112	339194.8191
113	338702.2184
114	338191.2753
115	337929.4367
116	337801.1274
117	337432.0697
118	337181.667
119	336729.0227
120	336155.5388
121	335850.0064
122	335519.623
123	335121.2753
124	334687.4008
125	334256.9323
126	333631.9107
127	333374.6266
128	332832.2628
129	332566.5621
130	332312.8242
131	331997.8652
132	331625.4978
133	331289.7161
134	330629.5897
135	330477.8856
136	330215.1149
137	329887.005
138	329467.6189
139	328833.9907
140	328377.8618
141	328042.5227
142	327696.0724
143	327192.1377
144	326947.0952
145	326658.1178
146	326400.7971
147	326182.9904
148	326140.4645
149	325640.8465
150	325537.7147
151	325235.3433
152	324824.7228
153	324497.5373
154	323991.2564
155	323746.5035
156	323260.7829
157	323050.6913
158	322624.5821
159	322096.1754
160	321863.418
161	321674.3695
162	321450.6374
163	321099.4752
164	320832.0944
165	320681.798
166	320497.0771
167	320331.4054
168	320067.6459
169	319781.4805
170	319279.5499
171	318748.0715
172	318267.1486
173	318084.9969
174	317877.9374
175	317572.9048
176	317116.717
177	317022.5484
178	316603.0557
179	316422.6389
180	316150.7156
181	315882.4915
182	315642.0123
183	315568.6857
184	315388.1121
185	315260.248
186	315057.0344
187	314926.2412
188	314815.1209
189	314640.9608
190	314275.5707
191	314104.0177
192	313951.7328
193	313766.8464
194	313503.6168
195	313184.9062
196	312656.9383
197	312608.8579
198	312442.8478
199	312171.8027
