iter	Passed	Remaining
0	139	27744
1	143	14206
2	146	9647
3	151	7403
4	155	6081
5	159	5168
6	164	4530
7	168	4041
8	172	3659
9	176	3351
10	180	3098
11	184	2895
12	188	2716
13	192	2557
14	196	2426
15	200	2307
16	204	2199
17	208	2109
18	212	2028
19	216	1951
20	220	1882
21	224	1819
22	228	1759
23	232	1705
24	236	1656
25	240	1609
26	244	1564
27	248	1525
28	252	1487
29	255	1450
30	260	1419
31	264	1389
32	268	1357
33	272	1331
34	277	1309
35	282	1288
36	288	1269
37	292	1248
38	297	1227
39	303	1212
40	309	1199
41	315	1185
42	320	1169
43	326	1156
44	331	1142
45	337	1129
46	343	1117
47	348	1104
48	354	1093
49	361	1083
50	366	1070
51	372	1060
52	377	1048
53	383	1038
54	389	1027
55	395	1017
56	400	1005
57	405	993
58	410	980
59	415	969
60	420	957
61	425	946
62	429	934
63	435	924
64	441	916
65	447	908
66	453	899
67	458	889
68	462	878
69	468	869
70	473	860
71	479	852
72	485	844
73	490	834
74	495	825
75	500	816
76	505	807
77	510	798
78	516	791
79	522	783
80	527	774
81	532	766
82	538	759
83	543	751
84	549	743
85	555	736
86	560	728
87	565	720
88	571	712
89	577	705
90	583	698
91	589	691
92	594	684
93	600	677
94	606	670
95	612	663
96	618	656
97	624	649
98	630	643
99	636	636
100	642	630
101	648	622
102	654	615
103	659	609
104	665	602
105	671	595
106	676	588
107	681	580
108	687	574
109	693	567
110	699	560
111	704	553
112	710	546
113	715	539
114	720	532
115	725	525
116	730	518
117	736	512
118	742	505
119	748	498
120	752	491
121	757	484
122	762	477
123	767	470
124	772	463
125	777	456
126	783	450
127	789	444
128	794	437
129	799	430
130	804	423
131	810	417
132	816	411
133	821	404
134	827	398
135	832	391
136	838	385
137	843	379
138	849	372
139	854	366
140	859	359
141	865	353
142	871	347
143	876	341
144	882	334
145	888	328
146	894	322
147	900	316
148	906	310
149	911	303
150	917	297
151	923	291
152	928	285
153	934	279
154	939	272
155	944	266
156	951	260
157	957	254
158	963	248
159	969	242
160	976	236
161	982	230
162	989	224
163	994	218
164	1000	212
165	1006	206
166	1012	200
167	1018	194
168	1024	187
169	1031	181
170	1037	175
171	1043	169
172	1049	163
173	1055	157
174	1061	151
175	1066	145
176	1071	139
177	1077	133
178	1083	127
179	1089	121
180	1095	114
181	1101	108
182	1108	102
183	1114	96
184	1121	90
185	1127	84
186	1134	78
187	1141	72
188	1149	66
189	1159	61
190	1167	54
191	1174	48
192	1181	42
193	1188	36
194	1193	30
195	1199	24
196	1204	18
197	1209	12
198	1215	6
199	1220	0
